㔂	lân
入	ji̍p, li̍p
內	lāi, luē
全	tsuân, tsn̂g
兩	nn̄g, lióng, niú
八	peh, pat, pueh, pa
公	kong, kang, káng, king
六	la̍k, lio̍k
共	kā, kāng, kiōng
兵	ping
其	kî
具	kū, khū
典	tián
兼	kiam
冇	phànn
冊	tsheh
再	tsài
冒	mōo
冗	liōng, līng
冠	kuan
冤	uan
冥	bîng
冬	tang, tong
冰	ping
冶	iá
冷	líng
准	tsún
凊	tshìn, tshìng
凋	tiau
凌	lîng
凍	tàng, tòng
凝	gîng
凡	huân, huān
凰	hông
凱	khái, ke
凶	hiong
凹	nah, neh, āu, lap
出	tshut, --tshut, tsut
函	hâm
刀	to
刁	tiau, thiau
分	hun, pun, hūn
切	tshiat, tshè
刊	khan
刐	táinn
刑	hîng
划	kò
列	lia̍t
刜	phut
初	tshoo, tshe, tshue
刣	thâi
判	phuànn
別	pa̍t, pia̍t
利	lī, lāi
刪	san
刮	khe, kueh, kuat, kuih
到	kàu, tàu, tò
制	tsè
刷	suat
券	kuàn, kǹg
刺	tshiah, tshì
刻	khik
剁	tok
剃	thì
則	tsik
剉	tshò
削	siah, siat
剋	khik
剌	lua̍h
前	tsîng, tsiân, tsûn
剔	thak, thik
剖	phóo
剛	kong
剝	pak, pok
剩	siōng, sīng, sīn
剪	tsián
副	hù
割	kuah, kat
創	tshòng, tshong
剷	thuánn
剺	le̍h, lì
剾	khau
剿	tsâu
劃	ue̍h, ui̍h, i̍k, uē
劇	kio̍k, ki̍k
劈	phik
劉	lâu
劌	kuì
劍	kiàm
劑	tse, tsè
力	li̍k, la̍t, lí
功	kong, kang
加	ke, ka
劣	lua̍t
助	tsōo
努	lóo
劫	kiap
勁	kīng, kìng, ngē
勃	pu̍t
勇	ióng
勉	bián
勍	khiang
勒	lik, li̍k
動	tōng, tāng
勘	kham, khàm
務	bū
勝	sìng, sing
勞	lô, lóo, lō
募	bōo
勢	sè, sì
勤	khîn, khûn
勥	khiàng
勳	hun
勵	lē
勸	khǹg, khuàn
勻	ûn
勼	kiu
勾	kau
勿	bu̍t
包	pau, pâu
匆	tshong
匏	pû
化	huà, hua
北	pak, pok
匙	sî
匠	tshiūnn
匡	khong
匪	huí
匯	huē
匹	phit
匼	khap
匾	pián
匿	li̍k
區	khu, oo, tshī
十	tsa̍p, si̍p
千	tshian, tshing
升	sing, tsin
午	ngóo, gōo
半	puànn, puàn
卌	siap
卑	pi
卒	tsut
卓	toh, tok, tá
協	hia̍p, ha̍h
南	lâm
博	phok
卜	pok, poh
占	tsiàm, tsiam
卡	khah, kha̍h
卦	kuà
卯	mauh, báu
印	ìn
危	guî, uî
即	tsik
卵	nn̄g, luán
卷	kńg, kuàn, kǹg
卸	sià
卻	khiok
卿	khing
厄	eh
厘	lî
厚	kāu, hōo
厝	tshù, liâu
原	guân, uân
厭	ià, iàn
厲	lī, lē
去	khì, --khì, khi
參	tsham, sim, som
又	iū
叉	tshe
及	ki̍p
友	iú
反	huán, píng
叔	tsik, siok
取	tshú
受	siū, siūnn
叛	puān
叡	luē, juē
叢	tsâng, tsông
口	kháu, káu, khió
古	kóo
句	kù
另	līng
叨	lo
叩	khàu, khiò
只	tsí
叫	kiò
召	tiàu
叭	pah
叮	tìng, ting
可	khó, khuá, khóo, khoo
台	tâi
史	sú, sái
右	iū
司	si, sai, su
各	kok, koh
合	ha̍p, ha̍h, kap, kah
吉	kiat, jì
吊	tiàu
吋	tshùn
同	tông, tâng
名	miâ, bîng
后	hiō, āu, hōo
吏	lī
吐	thóo, thòo
向	hiòng, ǹg, hiànn, hiàng, ànn
君	kun
吝	līn
吞	thun
吟	gîm
吠	puī, huī
否	hónn, phí
吧	pa
吩	huan, hun
含	kâm, hâm, kânn
吭	khōng, khngh
吮	tshńg
吱	ki
吳	ngôo, gôo
吵	tshá, tsháu
吶	nā
吸	khip
吹	tshue, tshe, tshui
吻	bún
吼	háu
吾	ngôo
呂	lū, lī
呃	eh
呆	tai
呈	thîng
告	kò
呔	thài
呢	ne, nî, --neh, --nih, ní, ni
呧	ti
周	tsiu
呱	kuā
呲	tshū
味	bī
呴	ku
呵	o
呸	phuì
呻	tshan, sin
呼	hoo, khoo, honn
命	miā, bīng
呾	tànn
呿	khuh
咂	tsa̍p
咇	phi̍h
和	hô, huê, hām, hō, hê
咍	hai
咎	kiū
咐	hù
咒	tsiù
咖	ka
咧	teh, leh, --leh
咩	meh
咪	bî
咫	tsí
咬	kā, ngáu
咯	ko̍k, kha̍k, lo̍k
咱	lán
咳	ka, kha
咻	hiu
咽	ian
咾	ló
哀	ai
品	phín
哆	to
哈	ha, hah, há
哉	tsài, tsai
哎	ai, aih, --aih
哖	nî
員	uân, înn, guân
哥	ko, koh, --ko, --koh
哨	siàu, sàu
哩	li, lí, mai, --lih
哪	ná
哭	khàu
哲	tiat
哹	pu
哺	pōo
哼	hainn, hngh, --hngh
哽	kénn, kínn
唅	hannh, --hannh
唆	sō, so
唇	tûn, sûn
唉	haih
唌	siânn
唏	hì
唐	tn̂g, tông
唔	onn
唚	tsim
唬	hóo
唭	kì, ki
售	siū
唯	bî, uî
唱	tshiùnn, tshiàng, tshiòng, tshiùn
唷	ioh, --ioh
唸	liām
唾	thò
唿	hut
啄	tok
商	siong, înn
啉	lim
啊	ah, --ah
問	mn̄g, būn
啖	tām, tam
啞	é, á
啟	khé
啡	pi
啥	siánn
啦	--lah
啼	thî
啾	tshiùnn
喀	khe̍nnh, khennh
喂	uê, --ueh, --eh, ueh, eh
喃	nauh
善	siān
喇	lá
喈	kainn
喉	âu
喊	hiàm, hán
喋	thi̍h
喌	tsiuh, tsû
喑	ìnn
喓	iaunn
喔	ooh, oh, --ooh
喘	tshuán
喙	tshuì
喚	huàn
喜	hí
喝	huah, hat
喢	sannh
喧	suan
喨	liang
喪	song, sòng, sng
喬	kiâu
單	tuann, tan
喲	iō
喳	tshā
喻	jū, lū
嗄	sà
嗇	sik, siah
嗙	pòng, phngh
嗚	oo, onn
嗝	keh
嗣	sū, sû
嗤	tshi, tshi̍h
嗦	so
嗲	teh, te
嗹	liân, lian
嗺	sui
嗽	sàu
嗾	tsa̍k
嘆	thàn
嘈	tsha̍uh, tsō
嘉	ka, kā
嘐	hau
嘓	go̍k, ko̍k, kho̍k, kok
嘔	áu, óo
嘖	tsheh, --tsheh
嘗	siông
嘛	mā, mà, --mah
嘟	tū
嘩	huā
嘮	lo
嘯	siàu
嘹	liâu
嘻	hi
嘿	heh, --heh
噁	ònn
噍	ta
噎	uh
噓	si
噗	pho̍k, phok, pok
噤	khiūnn
器	khì
噪	tshò
噭	kiàu
噯	ài, aih
噴	phùn
噶	kat
噷	hm̍h
噸	tòng, tùn
噹	tang
嚀	lîng
嚇	hiannh, heh, hánn, hik
嚓	tshia̍k
嚙	gè
嚨	nâ, lông
嚮	hiòng
嚴	giâm
嚵	tshànn
嚶	inn
嚷	jiáng, lióng
嚾	uang
囂	hiau
囉	lo, lô, lō, --looh
囊	lông, long
囑	tsiok
囚	siû
四	sì, sù
囝	kiánn
回	huê, hê
囟	sìn
因	in
囡	gín
囤	tún
囥	khǹg
囫	hut
囮	buê
困	khùn
囷	khûn
固	kòo
圇	lûn, lun, n̂g, nn̂g
圈	khian, khuan, khuân
國	kok
圍	uî, û
園	hn̂g, uân, huînn
圓	înn, uân
圖	tôo
團	thuân
圜	huân
土	thóo, thôo
在	tsāi
圭	kui
地	tē, tuē, tè, tī
圳	tsùn
圾	sap
址	tsí
均	kin, kun
坉	thūn
坊	hong, hng
坌	hun
坎	khám
坐	tsē, tshē, tsō
坑	khenn, khinn, khing, khe
坡	pho
坤	khun
坦	thán, thánn
坩	khann
坪	pênn, pînn, phiânn, phîng, pîng
坯	phue, phe
坱	ing
坵	khu, khiu
坷	khia̍t
垂	suî, suê, sê
垃	lah, lâ
型	hîng
垢	káu
垣	uân
垺	pû
埃	ia, ai
埆	kak
埋	tâi, bâi
城	siânn, sîng
埒	lua̍h
埔	poo
埕	tiânn
域	hi̍k, i̍k
埠	poo, pōo
埤	pi
執	tsip
培	puê, puē
基	ki, ke
埽	sò
堀	khut
堂	tn̂g, tông
堅	kian
堆	tui
堡	pó
堤	thê
堪	kham
堯	giâu
報	pò
場	tiûnn, tshiâng, á
堵	tóo
塊	tè
塌	thap, lap
塑	sok
塔	thah
塗	thôo, tôo
塘	tn̂g, tông
塚	thióng
塞	sat, sài
填	thiām
塭	ùn
塵	tîn
塹	tsām, tshàm
塾	sio̍k
境	kíng
墊	tiām
墓	bōng, bōo
墘	kînn
墜	tuī
增	tsing
墟	hi
墨	ba̍k, bi̍k
墩	tun
墮	tuī
墳	phûn, hûn
墼	kat
墾	khún
壁	piah, pik
壅	ìng
壇	tuânn, tân
壓	ap, ah
壕	hô
壘	luí
壙	khòng
壞	huāi
壟	lóng, lâng, lang
壢	li̍k
壩	pà, pè
士	sū
壬	jîm, lîm
壯	tsòng
壺	ôo, hôo
壽	siū
夏	hā, hē
夕	sia̍h, si̍k
外	guā, guē
多	to, kak
夜	iā
夠	kàu
夢	bāng, bōng
夥	hué, hé
大	tuā, tāi, ta, thái, tá
天	thinn, thian
太	thài, thā, tāi, thāi
夫	hu
夭	iáu
央	iang, ng, iong
夯	giâ
失	sit
夷	î
夾	ngeh
奅	phānn
奇	kî, khia
奈	nāi, ta
奉	hōng
奏	tsàu
契	khè, khuè
奒	hai
奔	phun
奕	ī
套	thò
奚	hê
奠	tiān
奢	tshia
奧	ò
奪	tua̍t
奮	hùn, pùn
女	lú, lí
奴	lôo
奶	ling, ni, nai, ne
奸	kan
好	hó, hònn
如	jû, lû
妃	hui
妄	bōng
妍	gián
妒	tòo
妓	ki
妖	iau
妗	kīm
妙	miāu
妝	tsng, tsong
妣	pí
妥	thò
妨	hông
妮	nî
妲	thán
妹	muē, bē
妻	tshe
妾	tshiap
姆	ḿ
姊	tsí, tsé
始	sí, sú
姐	tsiá
姑	koo
姒	sāi
姓	sènn, sìng, sìnn
委	uí
姚	iâu, iô
姜	kiunn, khiong, kiong, khiunn
姦	kàn, kan
姨	î
姪	ti̍t, tsit
姬	ki
姻	in
姼	tshit
姿	tsu
威	ui
娃	ua
娉	phing
娗	thānn
娘	niû, niâ, liông
娛	ngôo, gôo, gû
娜	ná
娟	kuan
娥	ngôo
娩	bián
娶	tshuā
娼	tshang, tshiong
婁	lôo
婆	pô
婉	uán
婊	piáu
婚	hun
婢	pī
婦	hū, pū
婷	tîng
婸	giang
婿	sài, sè
媌	bâ
媒	muê, hm̂, muî
媚	bī
媠	suí
媧	o
媳	sik
媽	má, mah, ma
嫁	kè, kà
嫂	só
嫌	hiâm
嫖	phiâu
嫡	tik
嫣	ian
嫦	siông
嬈	hiâu
嬉	hi
嬌	kiau
嬭	lé
嬰	enn, inn, ing, ìnn
嬸	tsím, sím
孀	song
子	tsí, tsú, jí, lí, á
孔	khóng, kháng
孕	īn
字	jī, lī
存	tsûn, tshûn
孜	tsu
孝	hàu, hà
孟	bīng
季	kuì
孤	koo
孩	hâi
孫	sun, sng
孵	pū, hu
學	ha̍k, o̍h
孽	gia̍t
宅	the̍h, thi̍k
宇	ú
守	siú, tsiú
安	an, uann, án
宋	sòng, sàng
完	uân
宏	hông
宕	thōng
宗	tsong
官	kuann, kuan
宙	tiū
定	tiānn, tīng
宛	uán
宜	gî
客	kheh, khik
宣	suan
室	sik
宥	iū
宦	huān
宮	kiong, king, má
宰	tsáinn
害	hāi
宴	iàn
宵	siau
家	ke, ka, kā
容	iông
宿	siok, siù, sok
寂	tsi̍k, siok
寄	kià, kì
寅	în
密	ba̍t, bi̍t
寇	khòo
富	hù, pù, hô
寐	bī
寒	kuânn, hân, gân
寓	gū, ú
寞	bo̍k
察	tshat
寡	kuá
寢	tshím, khím
寥	liâu
實	si̍t, tsa̍t
寧	lîng
寨	tsē
審	sím
寫	siá
寬	khuann, khuan
寮	liâu
寵	thíng, thióng
寶	pó
寸	tshùn
寺	sī
封	hong, pang
射	siā
將	tsiong, tsiòng, tsiàng
專	tsuan
尉	ut
尊	tsun
尋	siâm, sîm
對	tuì, uì
導	tō
小	sió, siáu
少	siàu, tsió, siáu
尖	tsiam
尚	siūnn, sióng, siōng
尤	iû
尪	ang
就	tō, tsiū
尹	ún
尺	tshioh, tshe, tshik
尻	kha
尼	nî, lî
尾	bué, bé
尿	jiō, liō
局	kio̍k
屁	phuì
屄	bai
居	ki, ku
屆	kài
屈	khut
屋	ok
屍	si
屎	sái, sú
屏	pîn, pîng, hè
屐	kia̍h
屑	sut, sap
展	tián, thián
屘	ban
屜	thuah
屠	tôo
屢	lí
層	tsân, tsàn
履	lí
屧	siap
屬	sio̍k, tsiok
屯	tūn, tùn, tun
山	suann, san, sán
岡	kong, kng, kóng
岩	giâm, gâm
岫	siū
岳	ga̍k
岸	huānn, gān
峇	bā, bâ
峨	ngôo
峰	hong
島	tó, tóo
峻	tsùn
峽	kiap
崁	khàm
崇	tsông
崎	kiā
崔	tshui
崖	gâi
崗	kong, kang
崙	lūn, lun, lún
崩	pang, ping
嵌	khàm
嵐	lâm
嵙	kho, khoo
嵯	tshu
嶄	tsám
嶠	kiau
嶺	niá, líng
嶼	sū
嶽	ga̍k
巒	luân, bân
巖	giâm
川	tshng, tshuan
州	tsiu
巡	sûn
巢	tsâu
工	kang, khang, kong
左	tsó
巧	khiáu, khá, kháu
巨	kū, kī
巫	bû
差	tsha, tshe, tshai, tsua̍h
己	kī, kí
已	í
巳	tsī, sū
巴	pa
巷	hāng
巾	kin, kun
市	tshī
布	pòo
帆	phâng, huân
希	hi
帕	phè
帖	thiap
帙	tia̍t
帚	tshiú
帛	pe̍h, pi̍k
帝	tè
帥	suè, suì
師	su, sai
席	si̍k
帳	tiùnn, tiòng
帶	tuà, tài
帷	uî
常	siông, tshiâng
帽	bō
幅	pak, hok
幌	hàinn
幔	mua
幕	bōo
幡	huan
幢	tông
幣	pè
幫	pang, png
干	kan
平	pîng, pênn, pînn, piânn, tsām
年	nî, liân, --nî
幸	hīng
幹	kàn
幻	huàn
幼	iù
幽	iu
幾	kuí, kí
庄	tsng
庇	pì
床	tshn̂g, sn̂g, tshông
序	sī, sū
底	té, tué, tī
店	tiàm
庚	kenn, king, kinn
府	hú
度	tōo, to̍k
座	tsō
庫	khòo
庭	tîng, tiânn
庵	am
康	khong, khng
庸	iông
庾	lú, jú
廁	tshè
廂	siunn
廉	liâm
廊	lông
廍	phōo
廕	ìm
廖	liāu
廚	tôo, tû
廟	biō
廠	tshiúnn
廢	huì
廣	kóng, kńg
廬	lôo
廳	thiann, thing
延	iân, tshiân
廷	tîng
建	kiàn
廿	jia̍p, lia̍p
弄	lāng, lōng, lòng
弊	pè, piah
式	sik, sit
弓	king, kiong
弔	tiàu
引	ín
弘	hông
弟	tī, tē
弦	hiân
弧	hôo
弱	jio̍k, lio̍k
張	tiunn, tng, tiong
強	kiông, kiōng, kióng
彈	tuânn, tuānn, thân, tān, tân
彌	mí, bî, mî, nî
彎	uan
彗	huī
彙	luī
形	hîng
彥	giān, gān
彩	tshái
彪	piu
彬	pin
彭	phînn, phênn, phîng
彰	tsiong, tsiang
影	iánn, íng
彷	hóng
役	i̍k, ia̍h
彼	hit, he, pí
彿	hut
往	óng, íng
征	tsing
待	thāi, tāi
律	lu̍t
後	āu, hāu, hiō, hōo
徐	tshî
徑	kìng
徒	tôo
得	tit, tik, --tit
徘	pâi
徙	suá
徛	khiā
從	tsiông, tsîng, tshiong
御	gū
復	ho̍k
循	sūn, sûn
微	bî, bui, bi
徵	ting, tin
德	tik
徹	thiat
徼	khiò
心	sim
必	pit
忌	khī, kī
忍	jím, lún, lím
忖	tshún
志	tsì
忘	bōng
忙	bâng, bông
忝	thiám
忠	tiong
忤	ngóo
快	khuài, khuìnn
念	liām
忽	hut
忿	hún
怎	tsuánn
怏	ǹg
怐	khòo
怒	nōo
怕	phà
怖	pòo
怙	kōo
思	su, sù, si
怡	î
急	kip
怦	phēnn
性	sìng, sènn, sìnn
怨	uàn
怪	kuài, kuè
怫	phut
怯	khiap
恁	lín
恂	sún
恆	hîng
恍	huánn, hóng
恐	khióng
恕	sù
恢	khue, hue
恥	thí
恨	hūn, hīn
恩	un, in
恬	tiām
恭	kiong
息	sit, sik
悅	ia̍t, ua̍t
悉	sik
悔	hué, huí
悖	puē
悟	ngōo
悠	iu
患	huān
悲	pi
悴	tsuī
悶	būn
悼	tō
悽	tshi
悾	khong
情	tsîng, tsiânn
惑	hi̍k
惘	bóng
惜	sioh, sik
惝	tshíng
惟	î, uî
惠	huī
惡	ok, ònn
惰	tuānn, tō
惱	ló, lóo, náu
想	siūnn, sióng
惶	hiânn
惹	jiá, liá
惻	tshik
愁	tshiû
愈	jú, lú
愉	lû, jû
愍	bián
意	ì
愕	go̍k
愖	sīm
愚	gû
愛	ài
感	kám
愣	gāng
愧	khuì
慄	la̍k, lik
慈	tsû
態	thài, thāi
慌	hong
慍	ùn
慎	sīn
慒	tso
慕	bōo
慘	tshám
慢	bān
慣	kuàn
慧	huē, huī
慨	khài
慮	lī, lū
慰	uì
慳	kian
慶	khìng
慷	khóng
慼	tsheh, tshueh, tshik
慾	io̍k
憂	iu
憐	liân, lîn
憑	pîn, pîng
憔	tsiâu
憚	tān
憢	giâu
憤	hùn
憫	bín
憲	hiàn
憶	ik
憾	hām
懂	táng, tóng
懇	khún
應	ìng, ìn, ing
懊	àu
懍	lún
懦	nōo
懲	tîng
懵	bòng, bóng
懶	lán, nuā
懷	huâi
懸	kuân, hiân
懺	tshàm
懼	kū
懿	ì
戀	luân, luān
戇	gōng
戈	ko, gòo
戊	bōo
戌	sut
成	sîng, tsiânn, tshiânn, siânn
我	guá, ngóo
戒	kài
或	hi̍k
戚	tshik
戛	khiat
戟	kik
戥	tíng
截	tsia̍t
戮	lak, lio̍k
戰	tsiàn
戲	hì
戳	thok
戴	tì, tè, tài
戶	hōo
戽	hòo
戾	lē
房	pâng, pông
所	sóo
扁	pínn, pún, pián, pín
扇	sìnn, siàn
扈	hōo
手	tshiú, siú
才	tsiah, tsâi, tshâi
扎	tsah
扑	phok
扒	pê, pe
打	tánn, tá
托	thok, thuh
扛	kng, kong
扞	huānn
扣	khàu, khau
扦	tshuann
扭	liú, ngiú, niú, láu
扮	pān
扯	tshé
扱	khi̍p
扲	gīm
扳	pian, pán
扴	ke̍h
扶	hû, phôo
扷	ió
批	phue, phe, phi
扼	i̍k
找	tsāu
承	sîng, sîn
技	ki
抄	tshau
抉	kuat
把	pá, pé, pà
抌	tìm
抐	lā
抑	ia̍h, iah, ah
抓	jiàu, liàu
抔	put
投	tâu
抗	khòng
折	tsiat, tsi̍h, tsik
抨	phiann
披	phi
抱	phō, pō, phāu
抵	tí, té
抹	buah
押	ah, ap
抽	thiu
抾	khioh
抿	bín
拂	hut
拄	tú, tuh
拆	thiah
拇	bú, bó
拈	liam, ne, ni
拉	lá, la, lâ
拊	hú
拋	pha, phau
拌	puānn
拍	phah, phik
拎	lîng
拐	kuái, kuāinn
拑	khînn
拒	kū, kī
拓	thok
拔	pue̍h, pua̍t, pua̍h
拖	thua
拗	áu
拘	khu
拙	tsuat
拚	piànn
招	tsio, tsiau
拜	pài
括	kuat, kuah
拭	tshit
拯	tsín
拱	kióng
拳	kûn, kuân
拹	hia̍p
拼	phing
拾	si̍p
拿	ná
持	tshî, tî
挂	kuì
挃	ti̍h
指	tsí, tsíng, tsáinn, kí
挈	khe̍h
按	án, àn
挌	keh
挐	jû, lû
挑	thio, thiau, thiáu
挓	thà
挔	hiannh
挕	hìnn
挖	óo, ué, uat
挨	e, ue, ai
挩	thuah
挫	tshò
振	tín, tsín
挲	so
挵	lòng
挹	ip
挺	thánn, thíng
挼	juê, lê
挽	bán
挾	gia̍p, nge̍h
捀	phâng
捅	thóng
捆	khún
捉	tshiok
捋	lua̍h, luah
捌	bat
捎	sa
捏	tēnn, lia̍p, liap, tīnn
捐	kuan
捒	sak
捔	ka̍k
捕	póo
捗	pôo
捘	tsūn
捙	tshia
捥	ńg
捧	phóng
捨	siá
捲	kńg
捶	tuî
捷	tsia̍p, tsia̍t
捻	liàm, liām
捽	sut
捾	kuānn
掀	hian
掂	tìm
掃	sàu, sò
掇	tuah, tua̍h
授	siū
掉	tiāu
掌	tsióng, tsiúnn, tsiáng
排	pâi
掔	khian
掖	iā
掘	ku̍t
掙	tsiānn
掛	kuà, khuà
掜	tau
掠	lia̍h, lio̍k
採	tshái
探	thàm, thàn
掣	tshuah, tshiat
接	tsiap, tsih
控	khòng, khàng
推	thui, the, tshui
掩	ng, am, iám, om
措	tshòo
掮	khainn
掰	pué
揀	kíng, kán
揈	hong
揉	jiû, liû
揌	sai
揍	bok
描	biô, biâu
提	the̍h, thê
插	tshah, tshap
揚	iông
換	uānn
揜	iap
握	ak, ok, ap
揣	tshuē, tshē
揤	tshi̍h
揫	tshiû
揬	tu̍h
揭	khiat, kiat
揮	hui
揲	tia̍p
援	uān
揹	phāinn
揻	ui
損	sńg, sún
搏	phok
搐	tiuh
搖	iô, iâu
搙	jio̍k, lio̍k
搜	tshiau, soo
搝	khiú
搟	hián
搢	tsìnn
搣	me, mi
搤	iah
搦	la̍k
搧	siàn, sàm
搩	kiat
搪	tn̄g
搬	puann, puan
搭	tah, tap, tā
搵	ùn
搶	tshiúnn, tshióng
摁	hmh
摃	kòng
摒	piànn
摔	siak, siàng
摖	tshè, tshuè
摘	tiah, tik
摠	tsáng
摧	tshui
摩	môo
摯	tsì
摳	kha̍unnh
摵	tshi̍k
摸	bong, moo, boo
摹	bōo, bôo
摺	tsih
摻	tsham, tshàm
撆	pih
撇	phiat
撈	hôo
撋	nuá
撏	jîm, lîm
撐	the
撒	suah, sat
撓	ngiáu
撙	tsún
撚	lián
撞	tōng
撟	kiāu
撠	giah
撤	thiat
撥	puah, puat
撨	tshiâu, tshâu
撩	liô, liâu
撫	bú, hu, hú
撬	kiāu
播	pòo
撮	tshok, tsuat
撰	tsuān
撼	hám
擁	ióng
擂	luî
擅	siān
擇	to̍h, ti̍k
擉	tia̍k
擊	kik
擋	tòng
操	tshau, tsho, tshò
擎	king, khîng
擒	khîm
擔	tann, tànn, tam
擗	phia̍k
擘	peh
據	kì, kù
擛	ia̍t
擠	tsik
擢	tioh
擤	tshìng
擦	tshat
擬	gí
擲	tàn
擴	khok
擸	bā
擺	pái
擽	ngiau
擾	jiáu, liáu
攀	phan
攄	lu
攏	lóng, láng
攑	gia̍h
攔	ânn, nuâ, lân
攕	tshiám, tshiam
攜	hê
攝	liap
攢	tshuân
攤	thuann, than
攪	kiáu
攬	lám
支	tsi, ki
收	siu
改	kái
攻	kong
放	pàng, hòng
政	tsìng
故	kòo
敆	kap
效	hāu
敏	bín
救	kiù
敗	pāi
敘	sū
教	kàu, kà, kah
敝	pè, pē
敢	kám, kánn
散	sàn, suànn, suánn, sán
敦	tun
敧	khi
敨	tháu
敬	kìng
敱	kháinn
敲	khà, khau
整	tsíng
敵	ti̍k
敷	hu
數	siàu, sòo
斂	liám
斃	pē
文	bûn
斌	pin
斐	huí, hui
斑	pan
斗	táu, tóo
料	liāu
斜	tshua̍h, tshiâ, siâ
斟	tsim, thîn
